lemma,difficulty,translation_override,categories,profile
nový,A1,,"common,universal",quality
starý,A1,old,"common,universal",quality
dobrý,A1,,"common,universal",quality
velký,A1,,"size,universal",dimensionless
malý,A1,,"size,universal",dimensionless
hezký,A1,,"common,universal",aesthetic
mladý,A1,,"common,universal",animate_quality
český,A1,,"common,universal",nationality
první,A1,,"common,universal",ordinal
krásný,A1,,"common,universal",aesthetic
špatný,A1,,"common,universal",quality
dlouhý,A1,,"size,object",physical_extent
krátký,A1,,"size,object",physical_extent
cizí,A1,foreign; someone else's; unfamiliar,"common,universal",nationality
jarní,A1,,"common,object",seasonal
červený,A2,,"color,universal",color
modrý,A2,,"color,universal",color
zelený,A2,,"color,universal",color
bílý,A2,,"color,universal",color
černý,A2,,"color,universal",color
teplý,A2,,"temperature,object",temperature
studený,A2,,"temperature,object",temperature
rychlý,A2,,"speed,universal",speed
pomalý,A2,,"speed,universal",speed
silný,A2,,"common,universal",quality
slabý,A2,weak,"common,universal",quality
levný,A2,,"common,object",wealth
drahý,A2,,"common,object,person",wealth
sladký,A2,,"common,object",taste
kyselý,A2,,"common,object",taste
důležitý,B1,,"common,universal",quality
zajímavý,B1,,"common,universal",quality
nebezpečný,B1,,"common,universal",quality
správný,B1,,"common,universal",quality
bohatý,B1,,"common,universal",abundance
chudý,B1,poor (lacking money),"common,universal",abundance
moderní,B1,,"common,universal",quality
poslední,B1,,"common,universal",ordinal
původní,B1,,"common,universal",quality
podobný,B1,,"common,universal",quality
různý,B1,,"common,universal",quality
hlavní,B1,,"common,universal",quality
příjemný,B1,,"emotion,universal",quality
nemocný,B1,,"common,person",person_trait
zdravý,B1,,"common,universal",vitality
spokojený,B2,,"emotion,person",emotion
unavený,B2,,"emotion,person",person_trait
překvapený,B2,,"emotion,person",emotion
zkušený,B2,,"common,person",person_trait
historický,B2,,"common,object",domain
politický,B2,,"common,universal",domain
vědecký,B2,,"common,object",domain
společenský,B2,,"common,universal",domain
praktický,B2,,"common,universal",utility
základní,B2,,"common,object",quality
celkový,B2,,"common,object",quality
současný,B2,,"common,universal",quality
tradiční,B2,,"common,universal",quality
obvyklý,B2,,"common,object",quality
nezbytný,B2,"indispensable, essential","common,object",quality
